92.1 14 112 14.6756 39.7899 1.29861 19.803 47.4344 -0.591753
91.6 12 101 6.93441 38.9145 0.618234 20.5721 46.6321 -11.2963
91.4 10 97 11.5202 40.1781 -6.53787 20.6423 46.6099 -14.8081
91.7 8 77 9.03584 39.8915 -17.7779 22.1993 46.5656 -32.1054
92.6 6 70 8.41252 37.9738 -20.893 21.6023 47.4371 -36.524
93 4 60.8 9.02394 28.5774 -21.819 21.7568 47.4808 -42.156
95 2 25 22.5073 12.3608 -20.7147 17.1793 57.2325 -59.1306
97 0 56 20.73 12.2561 -24.0395 20.1244 59.1141 -49.7401
98.1 -2 47.3 21.0552 11.6255 -23.3577 19.3971 59.9482 -54.9097
99.7 -4 50 19.4785 10.0853 -21.4041 21.1837 60.1724 -54.9057
100.8 -5.5 50.8 18.6665 10.0873 -20.8409 21.9819 61.0669 -55.6308
102.3 -7 33.5 16.9787 8.69853 -16.6248 21.1984 61.9523 -63.3613
105 -8.4 32.4 16.2066 7.58352 -15.0869 22.9411 62.241 -64.8443
107 -9.7 24.7 16.3821 6.46435 -12.7185 22.7128 63.9662 -67.6047
109 -10.5 10 15.4381 5.3722 -7.97137 22.1889 63.3317 -66.2226
111 -10.4 10 15.3152 4.27351 -6.86804 20.1268 64.9445 -67.4529
113 -10.7 8 15.2045 3.1696 -5.25482 21.7222 65.1818 -67.5706
115 -11.2 11.4 15.0753 2.06184 -5.00089 20.7231 66.051 -68.8439
117 -11.3 358.7 14.7294 0.333772 0.000483736 19.0935 66.0646 -65.6144
123 2 170 -67.0061 20.4971 31.8212 13.1038 -1.16706 -3.42478
121 2.3 190 -63.9168 38.0029 26.3265 12.1125 -1.0292 1.08974
119.7 6.5 128 -14.1779 2.86556 12.9365 15.3238 -4.03694 -14.5607
121.7 10 92 1.6836 31.9331 -0.568125 17.777 -6.19837 -17.9825
119.2 14 65 -24.8745 7.75418 19.2669 28.4684 -0.641502 -25.53
119.2 16 95 -43.8166 6.95271 44.2559 30.5275 -0.954372 -30.4945
119.2 17.5 88 -59.7167 8.66284 59.378 30.6077 -0.954372 -30.5557
119.8 19 119 -73.1136 14.6083 71.0288 31.7155 -1.07619 -28.2608
120.2 20.5 74 -53.8601 38.6535 41.1193 31.8454 -1.05356 -30.3214
128.6 4 246 -53.5956 11.6841 -44.2097 -78.2157 28.3055 -59.9408
127.4 6 247.3 -48.5256 11.9623 -40.1504 -75.6347 29.4658 -58.4049
127.3 8 267 -44.2076 24.5854 -42.8604 -73.7681 28.7126 -72.1643
126.8 10 252.8 -38.2188 26.5821 -28.6491 -71.1488 29.6782 -59.1908
126.2 12 247.4 -20.3565 34.6525 -5.47659 -68.5069 30.4848 -51.5311
125.2 14 248 -12.1733 56.7274 9.96356 -64.9782 30.6501 -48.765
123.5 15.6 205 -20.8333 56.5592 42.4555 -61.9446 33.7094 4.37217
124 23.4 345 13.9427 -48.3805 50.3406 -48.8234 33.5066 -45.0013
127 24.2 325 27.5588 -22.4828 34.224 -46.8254 29.5774 -51.0863
129 25.7 320 31.8099 -23.6186 38.5399 -43.7917 26.6783 -48.5855
130.5 27.5 310 29.2993 -16.2608 32.8968 -40.8176 25.2049 -47.4695
132 29.8 300 29.685 -20.6049 36.0104 -35.7682 22.8991 -42.4257
134 31.8 335 10.1604 -11.115 14.3676 -31.0023 20.1762 -31.388
135.5 32.6 340 9.25221 -11.0324 13.5315 -29.7252 18.4001 -27.4571
137 33.1 345 9.46099 -11.005 13.0787 -28.5375 16.5364 -23.359
134.5 6.8 315 -75.9505 25.573 -71.7879 -76.9016 25.882 -72.6789
136 7.3 358 -73.0588 24.6769 -27.2116 -74.3245 27.1431 -29.7204
138 8.6 305 -67.0144 20.1873 -66.474 -69.4311 22.6414 -69.8612
138.6 10 290 -68.8652 20.7129 -71.7963 -71.2626 23.2341 -74.9114
140.5 10.8 359 -68.391 18.0299 -19.2207 -88.0888 25.9086 -27.442
142.5 11.4 350.3 -67.8877 14.6021 -25.8317 -87.994 25.9194 -40.3749
144.5 12 335.9 3.75407 7.62561 -5.42802 -87.5692 27.0809 -60.4776
146.5 13.3 314.4 -4.48611 19.237 -16.6646 -88.3552 27.3477 -82.2616
147.5 15 289.2 -14.9902 26.1151 -22.7448 -87.4355 29.6762 -92.3316
147.8 17 271 -28.5062 28.5809 -29.0007 -88.1471 29.9823 -88.657
147.6 19 260 -44.6451 19.88 -40.5147 -88.2753 28.8024 -81.9327
146.9 21 235 -45.9556 15.9442 -28.4994 -88.033 28.8085 -55.5885
145.1 23 225.3 -46.6726 11.818 -24.8622 -87.2237 27.3549 -42.7573
143.3 27 272 -38.6218 13.5753 -39.0721 -86.6849 27.3571 -87.5869
142.9 29 252.3 -35.1432 13.5966 -29.3458 -86.3577 27.3565 -73.9524
142.3 31 258 -31.7273 15.5603 -27.7988 -86.0252 27.3549 -78.4579
142.1 33 260.9 -27.6817 15.6114 -24.8642 -84.683 27.0786 -79.3345
142.2 35 297.1 0.648581 -8.66837 4.5262 -84.2571 27.0789 -87.3424
143.5 37 298.9 0.603636 -9.30385 5.02485 -82.4086 27.944 -85.6506
144.2 39 276.6 1.53334 -10.3224 2.70961 -82.2173 26.8057 -84.7534
144.5 40.5 291.9 0.591306 -10.2219 4.36127 -81.4874 27.9432 -86.0294
145.5 41.5 318.5 -6.72563 -9.60027 2.73364 -80.1875 27.6476 -73.8407
147 42.2 324 -7.65917 -10.2216 3.76746 -79.5147 28.7534 -69.9996
149 43.5 318.9 -6.38256 -11.0042 4.09666 -77.6617 29.5158 -73.2949
