Table 1. Data Used in This Study																					
Name																					
 	"Lat., degreesN"	"Lon., degreesE"	"Az, degrees"	"as, degrees"	"ad, degrees"	"Dmax, km"	"L, km"	Vcn	 Vcmpn	Vupn	Vupn (heuret)	"Vtn, mm.a-1"	Vtn (heuret)	Vsubn	Vzn	"A, Ma"	"f, km"	"Fsp, 1012 N.m-1"	UPN	Slab Edge	UPS
IZU4	27	"143,3"	272	35	74	670	785	49	49	-60	-60.7	-60	-60.7	109	41	148	6127	31	o	n	E2
IZU3	29	"142,9"	252	33	71	670	806	45	45	-43	-45.6	-43	-45.6	88	37	141	5287	32	o	n	E2
IZU2	31	"142,3"	258	31	61	670	866	51	51	-44	-45.9	-44	-45.9	95	40	135	5349	33	o	n	E2
IZU1	33	"142,1"	261	29	50	670	969	55	55	-42	-44.1	-42	-44.1	97	38	129	4940	36	o	n	E2
JAP4	35	"142,2"	297	26	31	670	1343	93	101	-12	-11.9	-21	-21.2	114	46	127	5891	50	c	n	C3
JAP3	37	"143,5"	299	24	30	670	1397	92	101	-12	-11.9	-20	-20	112	44	132	5817	53	c	n	C3
JAP2	39	"144,2"	277	23	29	670	1444	86	96	-11	-10.7	-20	-20	106	40	131	5239	54	c	n	C3
JAP1	"40,5"	"144,5"	292	19	25	670	1674	90	99	-11	-11	-20	-19.6	110	36	128	4627	62	c	n	C3
SKOUR5	"41,5"	"145,5"	319	24	32	670	1336	77	77	-23	-23.9	-23	-23.9	100	38	128	4911	50	c	n	C2
SKOUR4	"42,2"	147	324	27	33	670	1276	74	74	-22	-21.9	-22	-21.9	95	39	120	4656	46	c	n	C2
SKOUR3	"43,5"	149	319	30	40	670	1098	76	76	-22	-22.3	-22	-22.3	99	47	118	5502	39	c	n	C2
SKOUR2	"44,4"	151	329	31	44	670	1027	71	71	-19	-18.8	-19	-18.8	90	46	118	5472	37	c	n	C2
SKOUR1	"45,3"	153	318	33	47	670	975	77	77	-21	-20.7	-21	-20.7	98	53	118	6229	35	c	n	C2
NKOUR3	47	"155,1"	308	35	48	900	951	79	79	-22	-21.7	-22	-21.7	101	55	110	6105	33	c	n	C1
