NAN3	31.8	134	750	335	12	-	100	601	48	48	-9	-	-	-9.4	-9	-9.4	-	56	8	17	135	8	c	0	2000	1500	300
NAN2	32.6	135.5	750	340	15	-	100	483	42	42	-9	-	-	-9	-9	-9	-	51	9	17	148	7	c	0	2000	1500	300
NAN1	33.1	137	750	345	19	-	100	384	37	37	-8	-	-	-8.2	-8	-8.2	-	45	10	21	202	6	c	0	2000	1500	300
YAP	8.6	138	1700	305	75	-	100	129	3	3	-93	-	-	-	-93	-	-	96	2	30	65	2	o	1	5600	1700	1500
SMAR5	10.8	140.5	11500	359	39	-	350	470	8	8	-38	-	-	-30.3	-38	-30.3	-	46	6	155	946	19	o	1	5600	11500	300
SMAR4	11.4	142.5	11500	350	43	64	400	489	15	15	-47	-	-	-41.4	-47	-41.4	-	62	13	155	1939	20	o	1	5600	11500	300
SMAR3	12	144.5	11500	336	46	73	500	566	56	23	-62	335.9	106	-58	-31	-25.3	-33.3	86	50	156	7732	23	o	0	5600	11500	300
SMAR2	13.3	146.5	11500	314	40	74	900	761	65	31	-80	314.4	237	-75.8	-44	-37.3	-38	110	57	156	8926	31	o	0	5600	11500	300
SMAR1	15	147.5	11500	289	35	84	900	766	69	32	-86	289.2	130	-83.7	-48	-49.9	-34.4	118	60	153	9260	31	o	0	5600	11500	300
NMAR4	17	147.8	11500	271	34	86	900	770	59	31	-78	271	102	-76.9	-46	-43.3	-35.3	109	51	150	7681	31	o	0	5600	11500	300
NMAR3	19	147.6	11500	260	35	86	900	764	46	30	-68	260	154	-69.8	-57	-37.5	-32	98	40	148	5896	31	o	0	5600	11500	300
NMAR2	21	146.9	11500	235	36	84	900	761	31	20	-41	235	179	-45.6	-34	-29.6	-14.8	61	27	147	3964	30	o	0	5600	11500	300
NMAR1	23	145.1	11500	225	40	72	900	768	18	17	-27	253.3	208	-31.4	-27	-27.3	-2.8	44	15	145	2220	30	o	0	5600	11500	300
IZU4	27	143.3	11500	272	35	74	670	785	49	49	-60	272	116	-60.7	-60	-60.7	-	109	41	148	6127	31	o	0	5600	11500	1000
IZU3	29	142.9	11500	252	33	71	670	806	45	45	-43	252.3	167	-45.6	-43	-45.6	-	88	37	141	5287	32	o	0	5600	11500	1000
IZU2	31	142.3	11500	258	31	61	670	866	51	51	-44	258	209	-45.9	-44	-45.9	-	95	40	135	5349	33	o	0	5600	11500	1000
IZU1	33	142.1	11500	261	29	50	670	969	55	55	-42	260.9	200	-44.1	-42	-44.1	-	97	38	129	4940	36	o	0	5600	11500	1000
JAP4	35	142.2	11500	297	26	31	670	1343	93	101	-12	297.1	188	-11.9	-21	-21.2	7.7	114	46	127	5891	50	c	0	5600	11500	1000
JAP3	37	143.5	11500	299	24	30	670	1397	92	101	-12	298.9	319	-11.9	-20	-20	8.7	112	44	132	5817	53	c	0	5600	11500	1000
JAP2	39	144.2	11500	277	23	29	670	1444	86	96	-11	276.6	286	-10.7	-20	-20	9.6	106	40	131	5239	54	c	0	5600	11500	1000
JAP1	40.5	144.5	11500	292	19	25	670	1674	90	99	-11	291.9	231	-11	-20	-19.6	8.6	110	36	128	4627	62	c	0	5600	11500	1000
SKOUR5	41.5	145.5	11500	319	24	32	670	1336	77	77	-23	218.5	254	-23.9	-23	-23.9	-	100	38	128	4911	50	c	0	5600	11500	1000
SKOUR4	42.2	147	11500	324	27	33	670	1276	74	74	-22	324	169	-21.9	-22	-21.9	-	95	39	120	4656	46	c	0	5600	11500	1000
SKOUR3	43.5	149	11500	319	30	40	670	1098	76	76	-22	318.9	155	-22.3	-22	-22.3	-	99	47	118	5502	39	c	0	5600	11500	1000
SKOUR2	44.4	151	11500	329	31	44	670	1027	71	71	-19	329.4	161	-18.8	-19	-18.8	-	90	46	118	5472	37	c	0	5600	11500	1000
SKOUR1	45.3	153	11500	318	33	47	670	975	77	77	-21	318.3	178	-20.7	-21	-20.7	-	98	53	118	6229	35	c	0	5600	11500	1000
NKOUR3	47	155.1	11500	308	35	48	900	951	79	79	-22	307.6	144	-21.7	-22	-21.7	-	101	55	110	6105	33	c	0	5600	11500	1000
NKOUR2	49	157.5	11500	314	36	50	850	924	77	77	-19	313.9	212	-18.9	-19	-18.9	-	97	56	110	6149	32	c	0	5600	11500	1000
NKOUR1	51	160.2	11500	304	37	51	850	909	77	77	-19	304.1	234	-19.2	-19	-19.2	-	96	57	110	6235	31	c	0	5600	11500	1000
KAM2	53	162.3	11500	300	38	56	670	860	75	75	-18	300	219	-17.7	-18	-17.7	-	93	58	100	5848	28	c	1	5600	11500	1000
KAM1	54.5	163.6	11500	300	40	64	400	500	74	74	-17	300	149	-16.7	-17	-16.7	-	91	59	100	5899	16	c	1	5600	11500	1000
W_ALE1	51.6	173	9500	28	37	56	300	430	21	21	5	-	-	4.6	5	4.6	-	17	15	45	669	10	c	1	3700	7500	1000
W_ALE2	51.1	175	9500	16	40	56	300	440	36	36	2	16.2	159	1.6	2	1.6	-	35	24	45	1095	10	c	1	3700	7500	1000
C_ALE1	50.8	177	9500	21	40	56	350	466	32	32	-3	20.9	143	-3.4	-3	-3.4	-	29	24	54	1282	11	c	0	3700	7500	1000
C_ALE2	50.4	179	9500	12	40	57	400	522	42	42	-1	11.6	131	-0.8	-1	-0.8	-	42	32	56	1805	13	c	0	3700	7500	1000
C_ALE3	50.3	181	9500	351	39	57.5	475	614	51	51	-2	350.9	170	-1.6	-2	-1.6	-	54	40	58	2303	15	c	0	3700	7500	1000
C_ALE4	50.4	183	9500	350	38	58	550	704	61	61	-5	350.2	98	-5	-5	-5	-	65	47	58	2745	18	c	0	3700	7500	1000
C_ALE5	50.5	185	9500	352	36	59	550	708	61	61	-5	352	133	-4.6	-5	-4.6	-	66	47	58	2742	18	c	0	3700	7500	1000
C_ALE6	50.9	187	9500	353	35.5	62	500	640	59	59	-3	353	168	-3.3	-3	-3.3	-	63	46	63	2904	17	c	0	3700	7500	1000
E_ALE1	51.1	189	9500	342	35	61	500	647	64	64	-6	342.3	190	-6	-6	-6	-	71	50	63	3122	17	c	0	3700	7500	1000
E_ALE2	51.5	191	9500	336	34	60	450	599	65	65	-7	336.2	166	-7.3	-7	-7.3	-	73	49	61	2998	15	c	0	3700	7500	1000
E_ALE3	52	193	9500	338	33	59	450	609	65	65	-6	337.9	134	-6	-6	-6	-	71	48	59	2813	15	c	0	3700	7500	1000
E_ALE4	52.5	195	9500	338	32	56	400	590	64	64	-6	338	200	-5.7	-6	-5.7	-	70	43	58	2509	15	c	0	3700	7500	1000
E_ALE5	53.1	197	9500	340	31	53	400	600	33	33	-5	339.5	145	-4.8	-5	-4.8	-	68	22	53	1159	14	c	0	3700	7500	1000
W_ALA1	53.5	199	8000	344	29	50.5	400	750	62	62	-4	343.5	221	-3.7	-4	-3.7	-	65	33	52	1706	18	c	0	3700	7500	6000
W_ALA2	53.8	201	8000	342	28	48	400	636	60	60	-3	341.6	243	-3.2	-3	-3.2	-	64	38	52	1961	15	c	0	3700	7500	6000
W_ALA3	54.2	203	8000	341	26	47	300	670	59	59	-3	341.3	330	-3	-3	-3	-	62	27	52	1381	16	c	0	3700	7500	6000
W_ALA4	54.8	205	8000	323	24	46	300	660	58	58	-7	323.1	292	-7	-7	-7	-	65	26	52	1369	16	c	0	3700	7500	6000
W_ALA5	55.6	207	8000	330	23	45	300	567	58	58	-5	330.1	369	-4.5	-5	-4.5	-	63	31	49	1495	13	c	0	3700	7500	6000
E_ALA1	56.2	209	8000	331	21	43	300	605	56	56	-4	331	468	-4.1	-4	-4.1	-	61	28	46	1267	14	c	0	3700	7500	6000
E_ALA2	57.1	211	8000	320	19	40	300	656	52	52	-6	319.6	391	-6.1	-6	-6.1	-	58	24	45	1062	15	c	0	3700	7500	6000
E_ALA3	58	213	8000	315	18	38	300	689	47	47	-6	314.5	258	-6.4	-6	-6.4	-	54	20	40	817	14	c	0	3700	7500	6000
E_ALA4	59.1	214.5	8000	311	16	-	200	770	43	43	-7	310.6	341	-6.8	-7	-6.8	-	50	11	39	437	16	c	1	3700	7500	6000
E_ALA5	59.2	215.5	8000	345	14	-	200	830	52	52	2	345	419	1.5	2	1.5	-	51	13	39	489	17	c	1	3700	7500	6000
CASC1	50	231.7	400	70	20	45	400	-	44	46	21	-	-	21	19	18.8	-	25	-	5	-	-	c	1	1300	400	7000
CASC2	48	233.4	400	70	17	45	300	675	37	39	22	-	-	22	20	19.7	-	17	16	10	163	7	c	1	1300	400	7000
CASC3	46	234.1	400	80	13	45	300	803	31	32	24	-	-	23.8	23	22.8	-	8	12	11	127	9	c	0	1300	400	7000
CASC4	44	234.6	400	86	16	45	300	701	24	24	24	-	-	24	24	24	-	0	10	11	113	8	c	1	1300	400	7000
MEX1	19.1	254.5	550	55	38	-	300	470	40	40	36	54.9	276	35.9	36	35.9	-	4	25	8	202	4	c	1	3100	1400	6000
MEX2	17.9	256	550	37	30	-	300	-	47	47	30	37.4	300	29.7	30	29.7	-	18	-	8	-	-	c	1	3100	1400	6000
MEX3	16.9	258	550	25	20	-	300	-	51	51	25	25	402	25.1	25	25.1	-	26	-	15	-	-	c	0	3100	1400	6000
MEX4	16.3	260	550	30	16	-	300	-	55	55	23	30.4	343	23.2	23	23.2	-	33	-	15	-	-	c	0	3100	1400	6000
MEX5	15.6	262	550	18	18	-	300	-	60	60	22	17.8	579	21.7	22	21.7	-	38	-	15	-	-	c	0	3100	1400	6000
MEX6	15.3	264	550	10	25	-	300	570	61	61	17	9.7	290	16.7	17	16.7	-	44	32	15	478	7	c	0	3100	1400	6000
COST1	14.2	266	1200	21	27	55	300	489	63	63	21	21	307	21.4	21	21.4	-	42	38	18	692	7	c	0	3100	1400	6000
COST2	13.2	268	1200	27	28	54	400	606	68	68	20	26.5	229	19.6	20	19.6	-	49	45	22	987	9	c	0	3100	1400	3000
COST3	12.3	270	1200	22	30	64	400	556	73	73	19	22.2	164	18.5	19	18.5	-	55	52	24	1255	9	c	0	3100	1400	3000
COST4	11.4	272	1200	32	32	66	400	537	78	78	22	32	106	22.3	22	22.3	-	55	58	28	1621	9	c	0	3100	1400	3000
COST5	9.4	274	1200	30	29	57	400	586	83	83	22	30	132	21.6	22	21.6	-	62	57	26	1474	10	c	1	3100	1400	3000
COL1	5	281.9	500	113	28	50	670	978	45	53	39	256.8	241	38.6	27	27.4	8	15	31	19	587	14	c	1	6800	4000	4500
COL2	3.5	280.9	500	120	26	45	670	1056	47	50	36	120	261	35.9	33	33	2.5	14	30	15	450	13	c	1	6800	4000	4500
COL3	2	279.9	500	115	21	45	670	1120	42	55	38	-	-	38.2	25	25.2	12.7	16	25	12	302	13	c	0	6800	4000	4500
PER1	-4	278.1	2800	91	11	45	1200	1426	69	69	47	91	374	46.6	47	46.6	-	23	33	30	976	26	c	0	6800	4000	6500
PER2	-5.5	278.1	2800	83	10	46	1200	1477	71	71	47	82.9	514	47	47	47	-	24	32	30	966	27	c	0	6800	4000	6500
PER3	-7	278.4	3200	71	10	47	1200	1465	71	71	46	-	-	45.9	46	45.9	-	25	32	31	1002	27	c	0	6800	4000	6500
PER4	-9	279.2	3200	64	11	49	1200	1377	70	70	45	64	414	45.1	45	45.1	-	25	34	31	1048	25	c	0	6800	4000	6500
PER5	-11	280.4	3600	59	12	49	1200	1323	68	68	44	-	-	43.8	44	43.8	-	26	35	46	1593	30	c	0	6800	4000	6500
PER6	-13	281.7	3600	56	12	52	1200	1293	68	68	43	55.5	340	42.6	43	42.6	-	26	35	46	1616	29	c	0	6800	4000	6500
NCHI1	-17	285.9	4100	38	17	50	1200	1139	58	58	34	37.8	405	34.4	34	34.4	-	24	34	52	1783	27	c	0	6800	4000	6000
NCHI2	-19	288	4100	56	25	41	1200	1126	63	73	44	56.4	337	43.6	35	34.6	9.3	29	38	54	2036	27	c	0	6800	4000	6000
NCHI3	-21	288.7	3900	84	23	40	1100	1168	72	78	48	84.4	320	47.9	42	41.9	6	30	42	55	2285	29	c	0	6800	4000	6000
NCHI4	-23	288.7	3900	95	18	45	1000	1175	71	75	47	94.7	390	46.6	42	41.8	4.7	30	40	54	2176	28	c	0	6800	4000	6000
NCHI5	-25	288.6	3700	93	17	47	900	1173	71	77	47	93.3	295	46.9	41	41	5.8	30	41	53	2156	28	c	0	6800	4000	6000
NCHI6	-27	288.3	3700	101	14	49	800	1239	68	73	45	101.1	261	45.1	39	39.4	5.5	29	37	52	1910	29	c	0	6800	4000	6000
JUAN1	-29	287.7	3700	99	13.5	-	670	980	69	75	45	99.4	843	44.6	39	38.9	5.2	30	47	49	2322	23	c	0	6800	4000	5500
JUAN2	-32	287.4	3700	95	12	-	670	1000	72	77	46	94.8	298	45.7	39	38.8	5.2	32	48	48	2299	23	c	0	6800	4000	5500
SCHI1	-34	286.9	3400	113	21	35	670	1299	66	66	39	113.3	399	38.9	39	38.9	-	27	34	42	1423	28	c	0	6800	4000	5000
SCHI2	-35.5	286.2	2050	118	22	-	-	-	62	62	37	118.4	340	36.5	37	36.5	-	25	-	39	-	-	c	0	6800	4000	5000
SCHI3	-37	285.4	1700	105	24	-	-	-	72	72	42	105	384	42	42	42	-	31	-	35	-	-	c	0	6800	4000	5000
SCHI4	-39	284.9	1200	99	25	-	-	-	75	75	43	99	350	43	43	43	-	33	-	33	-	-	c	0	6800	4000	5000
SCHI5	-41	284.7	700	97	25	-	-	-	75	75	43	97	356	43.3	43	43.3	-	33	-	20	-	-	c	0	6800	4000	5000
BARB1	12	302.6	1400	278	32	-	670	930	12	12	-28	-	-	-28.1	-28	-28.1	-	41	8	117	969	33	p	1	1850	1500	3000
BARB2	14	302.3	1400	251	36	55	670	878	12	12	-30	-	-	-29.8	-30	-29.8	-	42	9	110	999	30	p	1	1850	1500	3000
ANTI1	16	301.2	1300	250	39	-	670	900	11	11	-31	250	250	-31	-31	-31	-	42	8	98	788	29	p	0	1850	1500	3000
ANTI2	18	299.8	1300	230	37	-	670	870	9	9	-28	230	263	-27.6	-28	-27.6	-	37	7	90	652	27	p	0	1850	1500	3000
ANTI3	19.3	298	1300	205	35	-	500	660	6	6	-21	205	321	-30.5	-21	-30.5	-	26	5	84	395	20	p	0	1850	1500	3000
PORTO1	19.8	296	2100	185	32	-	500	640	8	3	-12	185	212	-11.7	-7	-6.6	-4.9	15	6	92	553	20	p	0	1850	1500	3000
PORTO2	19.8	294	2100	176	35	-	500	630	5	1	-7	176	251	-7.3	-1	-1.3	-4.1	9	4	100	413	21	p	0	1850	1500	3000
PORTO3	19.7	292	2100	176	36	-	500	600	5	1	-7	-	-	-7.3	-1	-1.3	-4	9	4	110	477	21	p	1	1850	1500	3000
SAND1	-60	335.4	1400	319	51	72	670	734	40	6	-16	-	-	-15.7	18	17.9	-33.7	18	36	33	1193	14	o	1	800	1500	300
SAND2	-58	336.2	1400	265	50	83	670	712	77	4	-24	265	86	-24.4	49	49	-72.8	29	72	36	2604	14	o	1	800	1500	300
SAND3	-56	334.9	1400	240	55	84	670	701	69	7	-27	240	75	-26.9	39	39.4	-62.1	33	66	40	2632	15	o	1	800	1500	300
SAND4	-55.1	333	1400	205	57	86	670	695	36	7	-21	205	91	-20.8	9	8.5	-28.8	27	34	40	1368	14	o	1	800	1500	300
SAND5	-54.9	331	1400	184	58	80	-	-	15	5	-13	-	-	-13.2	-2	-1.9	-10.1	17	-	40	-	-	o	1	800	1500	300
PUY	-48	164.5	3000	98	60	-	150	-	23	23	66	-	-	-	66	-	-	-43	-	33	-	-	o	1	600	3000	7000
KER1	-35	181.6	6000	293	44	70	900	760	46	46	-54	292.5	134	-53.7	-54	-53.7	-	100	41	95	3861	24	o	0	3000	6500	300
KER2	-33	182.2	6000	288	46	68	1000	762	52	52	-49	287.9	164	-49	-49	-49	-	100	45	97	4395	25	o	0	3000	6500	300
KER3	-31	183.2	6000	291	40	62	1100	812	55	55	-50	291.1	120	-49.8	-50	-49.8	-	104	45	99	4462	27	o	0	3000	6500	300
KER4	-29	183.9	6000	286	39	57	1200	848	59	59	-45	286.4	158	-44.9	-45	-44.9	-	105	47	101	4714	28	o	0	3000	6500	300
KER5	-27	184.5	6000	281	38	56.5	1300	857	64	64	-39	281.2	202	-39.4	-39	-39.4	-	104	50	103	5172	29	o	0	3000	6500	300
TONG1	-23	185.4	6200	298	39	57	670	848	104	65	-47	297.9	180	-47	-8	-8	-39.2	112	82	106	8739	29	o	0	3000	6500	300
TONG2	-21	186.5	6200	291	38	54	670	877	148	72	-40	291.1	185	-40.4	40	40.4	-76	113	113	107	12070	30	o	0	3000	6500	300
TONG3	-19	187.2	6200	287	36	51	670	914	183	76	-35	286.8	195	-35.2	93	93	-106.9	112	134	108	14489	31	o	0	3000	6500	300
TONG4	-17	187.8	6200	286	35	53	670	900	183	76	-35	286.1	131	-35.2	93	93	-106.9	112	136	108	14708	31	o	1	3000	6500	300
SHEB1	-20	168.2	3800	61	50	66	670	760	120	75	57	61.4	109	56.6	101	101	-45.5	18	106	45	4762	17	o	1	1600	3000	1000
SHEB2	-18	167.4	3800	82	48	71	670	745	85	82	85	81.5	113	85.4	96	96.1	-3.3	3	77	48	3684	17	o	1	1600	3000	1000
NHEB1	-14	166.2	3800	83	52	82	670	709	103	88	91	83	102	90.6	105	105.1	-15.6	3	98	60	5863	18	o	1	1600	3000	1000
NHEB2	-12	165.7	3800	66	57	72	670	722	163	87	67	66	87	67.4	145	144.7	-75.2	21	151	-	-	18	o	1	1600	3000	1000
BRET3	-6.1	152	400	335	44	70	670	760	120	11	-90	335	97	-90.4	20	19.5	-109.1	101	106	31	3283	14	o	0	500	400	7000
BRET2	-7	150	400	339	41	82	670	741	75	2	-94	339	103	-94.4	-18	-17.5	-73.6	93	68	31	2105	14	o	1	500	400	7000
BRET1	-7.3	148	400	10	37	76	670	769	65	48	0	10	73	0	-22	-22	-16.6	83	56	31	1747	14	o	1	500	400	7000
